Thread ID: 70233331333020
Fiber ID: 70233331295140
Total: 0.135067
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.08      0.001     0.000     0.000     0.000      100  *ActiveSupport::Rescuable::ClassMethods#rescue_with_handler 
  0.08      0.001     0.000     0.000     0.001       50   ActionDispatch::Response#set_content_type 
  0.08      0.000     0.000     0.000     0.000      100   Array#| 
  0.08      0.001     0.000     0.000     0.001       50   ActiveRecord::Relation#scoping 
  0.08      0.007     0.000     0.000     0.007      100   ActiveSupport::LogSubscriber#info 
  0.08      0.000     0.000     0.000     0.000      200   Array#== 
  0.08      0.000     0.000     0.000     0.000      200   ActiveSupport::ExecutionWrapper#hook_state 
  0.08      0.002     0.000     0.000     0.002       50   URI::RFC3986_Parser#parse 
  0.08      0.001     0.000     0.000     0.001       50   Rack::Request::Helpers#POST 
  0.08      0.000     0.000     0.000     0.000       50   ActionController::Rendering#_process_options 
  0.08      0.001     0.000     0.000     0.001       50   Array#map! 
  0.08      0.000     0.000     0.000     0.000       50   ActiveRecord::Railties::ControllerRuntime::ClassMethods#log_process_action 
  0.08      0.005     0.000     0.000     0.005      250   ActiveSupport::Notifications::Fanout#start 
  0.08      0.090     0.000     0.000     0.090       50   ActionDispatch::RequestId#call 
  0.08      0.000     0.000     0.000     0.000      100   ActionMailer::TestCase::ClearTestDeliveries#clear_test_deliveries 
  0.08      0.001     0.000     0.000     0.001      100   ActiveRecord::ConnectionAdapters::ConnectionHandler#connected? 
  0.08      0.002     0.000     0.000     0.002      100   ActionDispatch::Http::Parameters#set_binary_encoding 
  0.08      0.000     0.000     0.000     0.000       50   Rack::Request::Helpers#trusted_proxy? 
  0.08      0.000     0.000     0.000     0.000      250   ActiveRecord::Scoping::ScopeRegistry#raise_invalid_scope_type! 
  0.08      0.001     0.000     0.000     0.000      100   Rack::Request::Helpers#fullpath 
  0.08      0.001     0.000     0.000     0.001       50   ActiveRecord::QueryMethods#includes! 
  0.08      0.076     0.000     0.000     0.076       50   ActionDispatch::Routing::RouteSet#call 
  0.08      0.002     0.000     0.000     0.002       50   Rails::Rack::Logger#started_request_message 
  0.08      0.000     0.000     0.000     0.000      100   Object#blank? 
  0.08      0.000     0.000     0.000     0.000      300   String#upcase 
  0.08      0.001     0.000     0.000     0.001       50   Random::Formatter#uuid 
  0.08      0.001     0.000     0.000     0.001       50   URI::RFC2396_Parser#parse 
  0.08      0.000     0.000     0.000     0.000      150   String#downcase 
  0.08      0.000     0.000     0.000     0.000      250   <Class::ActiveRecord::LogSubscriber>#runtime 
  0.08      0.000     0.000     0.000     0.000      150   Module#<= 
  0.08      0.000     0.000     0.000     0.000      150   String#=~ 
  0.08      0.000     0.000     0.000     0.000       50   ActiveRecord::Relation#initialize 
  0.08      0.000     0.000     0.000     0.000      100   ActionDispatch::Http::MimeNegotiation#content_mime_type 
  0.08      0.000     0.000     0.000     0.000      200   URI::Generic#default_port 
  0.08      0.000     0.000     0.000     0.000      100   ActionDispatch::Http::Headers#merge! 
  0.08      0.000     0.000     0.000     0.000      250   <Class::ActiveRecord::RuntimeRegistry>#sql_runtime 
  0.08      0.000     0.000     0.000     0.000       50   Rack::Test::Session#initialize 
  0.08      0.000     0.000     0.000     0.000       50   ActionView::LookupContext::ViewPaths#normalize_name 
  0.08      0.001     0.000     0.000     0.001      300   Logger#format_message 
  0.08      0.000     0.000     0.000     0.000      300   Concurrent::Collection::MriMapBackend#[]= 
