Thread ID: 70233331333020
Fiber ID: 70233331295140
Total: 0.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Rendering#_process_variant 
   NaN      0.000     0.000     0.000     0.000       50   AbstractController::Rendering#_normalize_args 
   NaN      0.000     0.000     0.000     0.000       50   ActionView::Rendering#_normalize_args 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Rendering#_normalize_args 
   NaN      0.000     0.000     0.000     0.000       50   AbstractController::Rendering#_normalize_render 
   NaN      0.000     0.000     0.000     0.000       50   AbstractController::Rendering#render 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Rendering#render 
   NaN      0.000     0.000     0.000     0.000       50   <Module::Benchmark>#realtime 
   NaN      0.000     0.000     0.000     0.000       50   <Module::Benchmark>#ms 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Instrumentation#cleanup_view_runtime 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::ConnectionAdapters::ConnectionPool#connected? 
   NaN      0.000     0.000     0.000     0.000      100   Concurrent::Map#fetch 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::ConnectionAdapters::ConnectionHandler#connected? 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::ConnectionHandling#connection_specification_name 
   NaN      0.000     0.000     0.000     0.000      100   ActiveRecord::ConnectionHandling#connected? 
   NaN      0.000     0.000     0.000     0.000      100   ActionController::Base#logger 
   NaN      0.000     0.000     0.000     0.000       50   ActiveRecord::Railties::ControllerRuntime#cleanup_view_runtime 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::Instrumentation#render 
   NaN      0.000     0.000     0.000     0.000       50   Proc#arity 
   NaN      0.000     0.000     0.000     0.000       50   ActionController::MimeResponds::Collector#response 
   NaN      0.000     0.000     0.000     0.000       50   #<Class:0x00007fc0f1a66148>#[]= 
   NaN      0.000     0.000     0.000     0.000       50   ActionDispatch::Response#sent? 
   NaN      0.000     0.000     0.000     0.000       50   ActionDispatch::Response#sending? 
   NaN      0.000     0.000     0.000     0.000       50   ActionDispatch::Response::Header#[]= 
   NaN      0.000     0.000     0.000     0.000       50   ActionDispatch::Response#set_header 
   NaN      0.000     0.000     0.000     0.000       50   Encoding#to_s 
   NaN      0.000     0.000     0.000     0.000       50   ActionDispatch::Response#set_content_type 
   NaN      0.000     0.000     0.000     0.000       50   <Class::ActionDispatch::Response>#default_charset 
   NaN      0.000     0.000     0.000     0.000      100   ActionDispatch::Response::ContentTypeHeader#charset 
   NaN      0.000     0.000     0.000     0.000       50   <Class::ActionDispatch::Response::ContentTypeHeader>#new 
   NaN      0.000     0.000     0.000     0.000       50   ActionDispatch::Response#content_type= 
